þ|****************************|
|*******|EduExo Tests|*******|
|**|        Menu          |**|
|****************************|

Please, select one of the following options:
e) Enable
d) Disable
s) Position Sensor Calibration
m) Map Position Sensor to motor position
p) Set a position
c) Enter in the Control Loop
Motor disable!
Move the EduExo to 0 degrees. Press c to continue
Move the EduExo to 90 degrees. Press c to continue
302
Position sensor calibrated!
99
Motor enable!
Sensor and motor position mapped!
0.02, 36.47, 19.00
0.02, 34.64, 16.00
0.02, 32.92, 14.00
0.02, 31.33, 13.00
0.02, 29.89, 22.00
0.02, 28.61, 29.00
0.02, 27.51, 28.00
0.02, 26.60, 26.00
0.02, 25.88, 25.00
0.02, 25.38, 24.00
0.02, 25.08, 24.00
0.02, 25.00, 23.00
0.02, 25.14, 23.00
0.02, 25.49, 24.00
0.02, 26.05, 23.00
0.02, 26.82, 24.00
0.02, 27.78, 24.00
0.02, 28.93, 24.00
0.02, 30.25, 25.00
0.02, 31.74, 25.00
0.02, 33.36, 27.00
0.02, 35.11, 28.00
0.02, 36.97, 23.00
0.02, 38.92, 6.00
0.02, 40.82, 8.00
0.02, 42.77, 13.00
0.02, 44.85, 15.00
0.02, 46.93, 17.00
0.02, 48.98, 20.00
0.02, 51.00, 23.00
0.02, 52.94, 25.00
0.02, 54.81, 27.00
0.02, 56.56, 31.00
0.02, 58.19, 35.00
0.02, 59.68, 51.00
0.02, 61.01, 54.00
0.02, 62.17, 56.00
0.02, 63.14, 58.00
0.02, 63.92, 59.00
0.02, 64.49, 60.00
0.02, 64.85, 61.00
0.02, 65.00, 62.00
0.02, 64.93, 62.00
0.02, 64.64, 62.00
0.02, 64.14, 61.00
0.02, 63.44, 62.00
0.02, 62.54, 62.00
0.02, 61.44, 61.00
0.02, 60.17, 61.00
0.02, 58.74, 59.00
0.02, 57.15, 34.00
0.02, 55.44, 38.00
0.02, 53.61, 34.00
0.02, 51.69, 35.00
0.02, 49.70, 33.00
0.02, 47.65, 31.00
0.02, 45.58, 33.00
0.02, 43.50, 27.00
0.02, 41.44, 27.00
0.02, 39.42, 26.00
0.02, 37.45, 41.00
0.02, 35.57, 38.00
0.02, 33.79, 36.00
0.02, 32.13, 34.00
0.02, 30.61, 31.00
0.02, 29.25, 30.00
0.02, 28.05, 29.00
0.02, 27.04, 27.00
0.02, 26.23, 26.00
0.02, 25.61, 25.00
0.02, 25.21, 25.00
0.02, 25.02, 24.00
0.02, 25.04, 24.00
0.02, 25.28, 24.00
0.02, 25.74, 23.00
